Book of	Isaiah
031:003	Now the Egyptians are men, and not God; and their horses flesh, and not spirit. When the LORD shall stretch out his hand, both he that helpeth shall fall, and he that is holpen shall fall down, and they all shall fail together.
031:004	For thus hath the LORD spoken unto me, Like as the lion and the young lion roaring on his prey, when a multitude of shepherds is called forth against him, he will not be afraid of their voice, nor abase himself for the noise of them: so shall the LORD of hosts come down to fight for mount Zion, and for the hill thereof.
031:005	As birds flying, so will the LORD of hosts defend Jerusalem; defending also he will deliver it; and passing over he will preserve it.
031:006	Turn ye unto him from whom the children of Israel have deeply revolted.
031:007	For in that day every man shall cast away his idols of silver, and his idols of gold, which your own hands have made unto you for a sin.
031:008	Then shall the Assyrian fall with the sword, not of a mighty man; and the sword, not of a mean man, shall devour him: but he shall flee from the sword, and his young men shall be discomfited.
031:009	And he shall pass over to his strong hold for fear, and his princes shall be afraid of the ensign, saith the LORD, whose fire is in Zion, and his furnace in Jerusalem.
032:001	Behold, a king shall reign in righteousness, and princes shall rule in judgment.
032:002	And a man shall be as an hiding place from the wind, and a covert from the tempest; as rivers of water in a dry place, as the shadow of a great rock in a weary land.
032:003	And the eyes of them that see shall not be dim, and the ears of them that hear shall hearken.
032:004	The heart also of the rash shall understand knowledge, and the tongue of the stammerers shall be ready to speak plainly.
032:005	The vile person shall be no more called liberal, nor the churl said to be bountiful.
032:006	For the vile person will speak villany, and his heart will work iniquity, to practise hypocrisy, and to utter error against the LORD, to make empty the soul of the hungry, and he will cause the drink of the thirsty to fail.
032:007	The instruments also of the churl are evil: he deviseth wicked devices to destroy the poor with lying words, even when the needy speaketh right.
032:008	But the liberal deviseth liberal things; and by liberal things shall he stand.
032:009	Rise up, ye women that are at ease; hear my voice, ye careless daughters; give ear unto my speech.
032:010	Many days and years shall ye be troubled, ye careless women: for the vintage shall fail, the gathering shall not come.
032:011	Tremble, ye women that are at ease; be troubled, ye careless ones: strip you, and make you bare, and gird sackcloth upon your loins.
032:012	They shall lament for the teats, for the pleasant fields, for the fruitful vine.
032:013	Upon the land of my people shall come up thorns and briers; yea, upon all the houses of joy in the joyous city:
032:014	Because the palaces shall be forsaken; the multitude of the city shall be left; the forts and towers shall be for dens for ever, a joy of wild asses, a pasture of flocks;
032:015	Until the spirit be poured upon us from on high, and the wilderness be a fruitful field, and the fruitful field be counted for a forest.
032:016	Then judgment shall dwell in the wilderness, and righteousness remain in the fruitful field.
032:017	And the work of righteousness shall be peace; and the effect of righteousness quietness and assurance for ever.
032:018	And my people shall dwell in a peaceable habitation, and in sure dwellings, and in quiet resting places;
032:019	When it shall hail, coming down on the forest; and the city shall be low in a low place.
032:020	Blessed are ye that sow beside all waters, that send forth thither the feet of the ox and the ass.
033:001	Woe to thee that spoilest, and thou wast not spoiled; and dealest treacherously, and they dealt not treacherously with thee! when thou shalt cease to spoil, thou shalt be spoiled; and when thou shalt make an end to deal treacherously, they shall deal treacherously with thee.
033:002	O LORD, be gracious unto us; we have waited for thee: be thou their arm every morning, our salvation also in the time of trouble.
033:003	At the noise of the tumult the people fled; at the lifting up of thyself the nations were scattered.
033:004	And your spoil shall be gathered like the gathering of the caterpiller: as the running to and fro of locusts shall he run upon them.
033:005	The LORD is exalted; for he dwelleth on high: he hath filled Zion with judgment and righteousness.
033:006	And wisdom and knowledge shall be the stability of thy times, and strength of salvation: the fear of the LORD is his treasure.
033:007	Behold, their valiant ones shall cry without: the ambassadors of peace shall weep bitterly.
033:008	The highways lie waste, the wayfaring man ceaseth: he hath broken the covenant, he hath despised the cities, he regardeth no man.
033:009	The earth mourneth and languisheth: Lebanon is ashamed and hewn down: Sharon is like a wilderness; and Bashan and Carmel shake off their fruits.
033:010	Now will I rise, saith the LORD; now will I be exalted; now will I lift up myself.
033:011	Ye shall conceive chaff, ye shall bring forth stubble: your breath, as fire, shall devour you.
033:012	And the people shall be as the burnings of lime: as thorns cut up shall they be burned in the fire.
033:013	Hear, ye that are far off, what I have done; and, ye that are near, acknowledge my might.
033:014	The sinners in Zion are afraid; fearfulness hath surprised the hypocrites. Who among us shall dwell with the devouring fire? who among us shall dwell with everlasting burnings?
033:015	He that walketh righteously, and speaketh uprightly; he that despiseth the gain of oppressions, that shaketh his hands from holding of bribes, that stoppeth his ears from hearing of blood, and shutteth his eyes from seeing evil;
